current_role,job_location,key_success_factors,beneficial_actions,advice_for_others,current_job_status,living_in_denmark,target_location,education_level,field_of_study,experience_years,prior_dk_experience,target_roles,working_model,english_proficiency,danish_proficiency,visa_status,applications_last_3_months,interview_invites,biggest_challenge,skill_prototyping,skill_python,skill_insurance,skill_quick learner,skill_grid analysis,skill_api development,skill_java script,skill_sql,skill_vue,skill_machine learning,skill_guidewire,skill_java,skill_html,skill_excel,skill_biotechnology microbiology quality control,skill_web development,skill_user research,skill_machine learning and data analysis,skill_statistical methods,skill_data cleaning,skill_git,skill_ux design,skill_solar power simulations,skill_ai enthusiastic,skill_c#,skill_pandas,skill_strong mathematics background,skill_wireframing,skill_cloud computing,skill_photography,skill_data modeling,skill_data visualization,skill_mobile app development,skill_figma,skill_problem solving,skill_electrical engineering,skill_teamwork,skill_dustribution,skill_ui design,skill_time management,skill_adaptability,skill_ml,skill_programming and software development,skill_design thinking,skill_data analysis,skill_numpy,skill_typescript,skill_css,skill_power bi,skill_react,skill_javascript,skill_domain,skill_communication,tool_,tool_python,tool_jupyter,tool_python (basic level),tool_sql,tool_tableau,tool_postman,tool_java,tool_1. code development and scripting,tool_html,tool_docker,tool_2. web development,tool_nextjs,tool_adobe xd,tool_powerbi,tool_aws,tool_c#,tool_c program,tool_webpack,tool_sql workbench,tool_github,tool_css,tool_matlab,tool_adobe,tool_r,tool_etc…,tool_typescript,tool_vs code,tool_azure,tool_figma,tool_react,tool_javascript
,,,,,Actively applying for Jobs,Yes,Copenhagen,Bachelor's,Computer science ,,No,Data Analyst,Hybrid,5,"Yes, Conversational",Residence Permit,0.0,0,Not enough local experience,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Not actively applying but intrested,Yes,Copenhagen,Bachelor's,Data analytics,,No,Data Analyst,Onsite,4,Basic only,Residence Permit,0.0,1,"Lack of Danish language, Not enough local experience",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Not actively applying but intrested,Yes,Copenhagen,Master's,Sustainable energy,,No,Others,Hybrid,5,Not at all,Student Visa,0.0,1,"Lack of Danish language, Not enough local experience, Skills mismatch",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Domain Architect,Copenhagen,Previous work experience in Denmark,Connections,Build skills and connections,,,,Master's,Architecture,,Yes,,Onsite,5,"Yes, Conversational",Residence Permit,0.0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Software Developer,Hillerod,"Relevant skills/tech stack, Networking and connections",relevant skills and networking,Upskilling and consistently apply for job,,,,Master's,Computer Science,,No,,Hybrid,4,Intermediate,Job Seeker Visa,0.0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
QA Engineer,Copenhagen,"Language proficiency in English, Relevant skills/tech stack, Previous work experience in Denmark",Having good connections and skills. Most of the jobs openings in Denmarks are filled with referrals.,"Try to build connections and apply to as many jobs as possible. Keep the CV aligned with the job requirements. This requires you to have multiple versions of CV readily available. Also, try to talk to the recruiting manager before you apply for the job.",,,,Master's,Software Engineering,,Yes,,Hybrid,4,"Yes, Conversational",Job Seeker Visa,0.0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Business Analyst,Copenhagen,"Relevant skills/tech stack, Strong CV/Resume and LinkedIn profile",Skill set,Prepare skill set,,,,Bachelor's,Business administration,,Yes,,Onsite,4,Intermediate,Residence Permit,0.0,1,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Actively applying for Jobs,Yes,Copenhagen,Master's,geology,,No,Software Developer,Hybrid,4,Basic only,Job Seeker Visa,0.0,1,"Lack of Danish language, Not enough local experience, Skills mismatch",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cleaning assistance,Copenhagen,Networking and connections,Language and network,"Yes, First  you need to create a strong network and then you need to have an experienced from previous job or from your home country.",,,,Bachelor's,Theology,,No,,Onsite,5,Intermediate,Job Seeker Visa,0.0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Team Lead and Occupational Health and Safety Representative,Copenhagen,"Language proficiency in English, Language proficiency in Danish, Relevant skills/tech stack",No comment,Yes,,,,Bachelor's,Business administration,,Yes,,Onsite,4,Basic only,Residence Permit,0.0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Actively applying for Jobs,Yes,Copenhagen,High school ,Management ,,Yes,Others,Hybrid,3,Not at all,Residence Permit,0.0,1,Lack of Danish language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Student assistant,Copenhagen,"Language proficiency in Danish, Strong CV/Resume and LinkedIn profile, Networking and connections",Referral,Make your network strong with language fluency,,,,Bachelor's,Anthropology,,No,,Onsite,4,Fluent,Student Visa,0.0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Actively applying for Jobs,Yes,Copenhagen,Bachelor's,Business administration,,Yes,Others,Remote,3,Not at all,Student Visa,0.0,1,"Not enough local experience, Skills mismatch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kitchen helper,Copenhagen,"Language proficiency in English, Networking and connections","Talking good, have confidence, carry good charisma ",It’s welcoming country for much jobs. But you better have network and connections.,,,,High school ,Management ,,Yes,,Onsite,3,"Yes, Conversational",Job Seeker Visa,0.0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logistics,Copenhagen,Networking and connections,References,Have good conncetion and work on skills level,,,,Master's,Mathematics ,,Yes,,Hybrid,4,Intermediate,Residence Permit,0.0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Copenhagen,"Language proficiency in English, Networking and connections","Equal opportunities to all people living in Denmark, provide more positions in English, adopt a concept learning by doing ","If possible do internship,learn language and some skills so that you have backup for your upcoming job",,,,Master's,Data analytics,,Yes,,Hybrid,4,"Yes, Conversational",Job Seeker Visa,0.0,1,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Actively applying for Jobs,Yes,Copenhagen,Master's,IT and cognition,,No,Data Analyst,Hybrid,4,Not at all,Student Visa,0.0,1,"Lack of Danish language, Not enough local experience, Visa issues",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pharmacist ,Copenhagen,Networking and connections,Language and previous Danish market exposure,Learn language,,,,PhD,Pharmacy,,Yes,,Onsite,5,Fluent,Residence Permit,0.0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontend Developer,Copenhagen,,,,,,,Bachelor's,Computer Science,,Yes,,Onsite,5,Basic only,Residence Permit,0.0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Frontend Developer,Copenhagen,,,,,,,Master's,Software Engineering,,Yes,,Hybrid,4,"Yes, Conversational",Residence Permit,0.0,1,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Backend Developer,Copenhagen,,,,,,,Master's,Software Engineering,,No,,Hybrid,5,Basic only,Residence Permit,0.0,1,,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backend Developer,Odense,,,,,,,Master's,Physics,,Yes,,Hybrid,4,"Yes, Conversational",Job Seeker Visa,0.0,1,,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Software Developer,Copenhagen,,,,,,,Master's,Computer Science,,Yes,,Onsite,4,Intermediate,Residence Permit,0.0,1,,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Software Developer,Copenhagen,,,,,,,Master's,Software Development,,Yes,,Hybrid,5,"Yes, Conversational",Job Seeker Visa,0.0,1,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Copenhagen,,,,,,,Bachelor's,Statistics,,No,,Onsite,5,Basic only,Residence Permit,0.0,1,,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Analyst,Copenhagen,,,,,,,Master's,Data Analytics,,Yes,,Hybrid,4,"Yes, Conversational",Job Seeker Visa,0.0,1,,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist,Copenhagen,,,,,,,PhD,Data Science,,Yes,,Hybrid,5,Intermediate,Residence Permit,0.0,1,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist,Copenhagen,,,,,,,Master's,Statistics,,Yes,,Onsite,5,Fluent,Residence Permit,0.0,1,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Data Scientist,Copenhagen,,,,,,,Master's,Mathematics,,Yes,,Hybrid,4,Intermediate,Job Seeker Visa,0.0,1,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
UX Designer,Aarhus,,,,,,,Master's,Graphic Design,,Yes,,Onsite,5,"Yes, Conversational",Job Seeker Visa,0.0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
UX Designer,Copenhagen,,,,,,,Bachelor's,Service Design,,Yes,,Onsite,5,Fluent,Residence Permit,0.0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
UI/UX Designer,Copenhagen,,,,,,,Bachelor's,Industrial Design,,Yes,,Onsite,5,Basic only,Residence Permit,0.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
,,,,,Actively applying for Jobs,Yes,Copenhagen,Master's,Chemistry,,Yes,Frontend Developer,Hybrid,4,Not at all,Residence Permit,0.0,1,Not enough local experience,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
,,,,,Not actively applying but intrested,No,Copenhagen,Bachelor's,Computer Science,,No,Backend Developer,Hybrid,4,Basic only,Job Seeker Visa,0.0,0,Not enough local experience,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Not actively applying but intrested,Yes,Copenhagen,Bachelor's,Electric Engineering,,No,Software Developer,Onsite,3,"Yes, Conversational",Student Visa,0.0,0,"Lack of Danish language, Not enough local experience, Skills mismatch",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Actively applying for Jobs,Yes,Copenhagen,Master's,Economics,,No,Data Analyst,Hybrid,3,Basic only,Student Visa,0.0,0,"Lack of Danish language, Not enough local experience",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,Actively applying for Jobs,Yes,Copenhagen,PhD,Journalism,,No,Data Scientist,Onsite,4,Basic only,Residence Permit,0.0,0,"Lack of Danish language, Not enough local experience",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
